S,m,cx,xmax,D_x,threshold_area,max_growth_accel,crosses_threshold
0.08,1.32,0.49,1.4272698888467243,5.4873463272050405,0.38590354890341166,0.3709834591468342,True
0.0825,1.33,0.4975,1.4197546186526466,5.448004350665911,0.3731922024009007,0.3691591962377252,True
0.085,1.34,0.505,1.4123413719337758,5.409643300751377,0.3607599264519996,0.3673513713813088,True
0.0875,1.35,0.5125,1.4050472804420149,5.372223374280035,0.3485777319568184,0.365560966407807,True
0.09,1.3599999999999999,0.52,1.3978471943611062,5.33569455877274,0.336654348027481,0.36379003251946695,True
0.0925,1.37,0.5275,1.390738753710544,5.3000320577690845,0.32495926291434424,0.3620348683382475,True
0.095,1.38,0.535,1.383736741485798,5.265238117906127,0.31353650058921084,0.3602952934824693,True
0.0975,1.3900000000000001,0.5425,1.376831603379775,5.231252164423451,0.3023384556685721,0.35857112936965285,True
0.1,1.4,0.55,1.3700119074581534,5.198045822435294,0.2913810135103973,0.3568640167687762,True
0.10250000000000001,1.4100000000000001,0.5575,1.3632814816914052,5.165595487572171,0.2806495420198355,0.3551743545471833,True
0.10500000000000001,1.42,0.5650000000000001,1.3566527548574965,5.133901180504615,0.27016198242353173,0.3534994820924798,True
0.1075,1.43,0.5725,1.3501037848474278,5.102898814607287,0.2598890763985535,0.3518392306411981,True
0.11,1.44,0.5800000000000001,1.3436338712988154,5.072557651309629,0.2498341607625404,0.3501934332310523,True
0.1125,1.45,0.5875,1.3372601048504575,5.042879161282322,0.24001609542499358,0.3485632699477435,True
0.115,1.46,0.595,1.3309652908884544,5.013827525809398,0.23039807828130388,0.34694977097564533,True
0.1175,1.47,0.6025,1.3247445026919926,4.985393909293892,0.22099887608152222,0.34535014972990274,True
0.12,1.48,0.61,1.3186071323229007,4.957573010241339,0.2118176820752769,0.3437642486530042,True
0.1225,1.49,0.6174999999999999,1.3125511933798688,4.930328417532715,0.20283147335718518,0.342191911950337,True
0.125,1.5,0.625,1.3065658541042586,4.903667367217408,0.19406004874795246,0.3406329855910502,True
0.1275,1.51,0.6325000000000001,1.300650884472929,4.877575952663234,0.1854917876637768,0.3390908442118499,True
0.13,1.52,0.64,1.2948196888644432,4.852015085664333,0.17710984327727727,0.3375618037933109,True
0.1325,1.53,0.6475,1.2890570549642144,4.8270013423049996,0.16894614535634295,0.33604564633467787,True
0.135,1.54,0.655,1.283357970159681,4.802507850531363,0.16096842137507028,0.33454222665251243,True
0.1375,1.55,0.6625000000000001,1.2777344120603515,4.7785292270667625,0.1531819503336403,0.3330514012575667,True
0.14,1.56,0.67,1.2721801741747836,4.755049059886887,0.14559033768128354,0.331574090341367,True
0.14250000000000002,1.57,0.6775,1.2666857253969122,4.732045391344625,0.13818764566947853,0.33011130500044217,True
0.14500000000000002,1.58,0.685,1.2612586315785665,4.709536109586448,0.13097939091194857,0.32866062497603643,True
