Hc_%,outcome,dropped,pearson_r,pearson_p,spearman_rho,spearman_p,n
50,R2009,CAN,0.5841612050263094,0.04609882298523077,0.5664335664335665,0.054842119775407906,12
50,R2009,DEU,0.5709943090915576,0.05249042377068729,0.5804195804195805,0.04785597684206058,12
50,R2009,DNK,0.5433944743807664,0.06785437045025414,0.5664335664335665,0.054842119775407906,12
50,R2009,ESP,0.595710412327398,0.04096260153592616,0.6573426573426573,0.020185498509854093,12
50,R2009,FIN,0.5427062387005522,0.06827300173751459,0.5944055944055945,0.04152149441031857,12
50,R2009,FRA,0.6449074719396384,0.023555922429644653,0.5944055944055945,0.04152149441031857,12
50,R2009,GBR,0.5509239881540537,0.06338950924669223,0.5804195804195805,0.04785597684206058,12
50,R2009,IRL,0.47935715854655997,0.11482485290400087,0.4825174825174825,0.11210929146889187,12
50,R2009,ITA,0.5777234544244605,0.04915102056708673,0.5944055944055945,0.04152149441031857,12
50,R2009,JPN,0.533942897479646,0.07375996353537133,0.5944055944055945,0.04152149441031857,12
50,R2009,NLD,0.5485960018001866,0.06474756286941741,0.5804195804195805,0.04785597684206058,12
50,R2009,SWE,0.6340480404436273,0.026818411381643488,0.6503496503496504,0.022034190932365316,12
50,R2009,USA,0.5483816829028296,0.06487359095374415,0.5944055944055945,0.04152149441031857,12
50,DC,CAN,-0.4143456964647932,0.1805198746150154,-0.4545454545454546,0.13765791634772948,12
50,DC,DEU,-0.3457753493418198,0.2709340876491469,-0.37762237762237766,0.22620604493502647,12
50,DC,DNK,-0.3212941744635754,0.3085209356444642,-0.3356643356643357,0.28612290291498743,12
50,DC,ESP,-0.3763606740122565,0.22788778478202065,-0.4545454545454546,0.13765791634772948,12
50,DC,FIN,-0.3996691899346985,0.1980228939226106,-0.4545454545454546,0.13765791634772948,12
50,DC,FRA,-0.304156569761485,0.3364625177079753,-0.4055944055944056,0.19083587400450036,12
50,DC,GBR,-0.33462758843230117,0.2877070432647347,-0.3636363636363637,0.24526500073077723,12
50,DC,IRL,-0.21014441018177413,0.5121131224819641,-0.2447552447552448,0.44326193645018325,12
50,DC,ITA,-0.38306100562400797,0.21904221045545688,-0.46153846153846156,0.13094806950717272,12
50,DC,JPN,-0.31471884714785847,0.3190844112775641,-0.32867132867132864,0.2969041156887641,12
50,DC,NLD,-0.47496240146336105,0.11867275571172645,-0.5594405594405596,0.05858947538856764,12
50,DC,SWE,-0.38089094143430247,0.22188403062054912,-0.4265734265734266,0.16669998762494498,12
50,DC,USA,-0.35059887150779856,0.26385533621255364,-0.3916083916083916,0.20806346369535322,12
60,R2009,CAN,0.6334096115906955,0.027019850697786015,0.5804195804195805,0.04785597684206058,12
60,R2009,DEU,0.6050220747593568,0.03712817225535814,0.5804195804195805,0.04785597684206058,12
60,R2009,DNK,0.5924419704681956,0.042372738118236275,0.5804195804195805,0.04785597684206058,12
60,R2009,ESP,0.657247635271972,0.02020983206351167,0.6713286713286714,0.016831456186893416,12
60,R2009,FIN,0.6041259068955802,0.03748560169497443,0.5944055944055945,0.04152149441031857,12
60,R2009,FRA,0.6761656042234978,0.01577300193972967,0.6083916083916086,0.03580599705202923,12
60,R2009,GBR,0.6006271589803112,0.03890454908866236,0.5944055944055945,0.04152149441031857,12
60,R2009,IRL,0.5270940362225572,0.07825320816807066,0.49650349650349657,0.10060263183225476,12
60,R2009,ITA,0.6203319510146522,0.031391018977883045,0.6083916083916086,0.03580599705202923,12
60,R2009,JPN,0.5674247271855919,0.05432489618458693,0.6083916083916086,0.03580599705202923,12
60,R2009,NLD,0.6023809829179957,0.03818857715629834,0.5944055944055945,0.04152149441031857,12
60,R2009,SWE,0.6784323552998649,0.01529420285262862,0.6573426573426573,0.020185498509854093,12
60,R2009,USA,0.6003738906902674,0.039008725543215196,0.6083916083916086,0.03580599705202923,12
60,DC,CAN,-0.4665041617042817,0.12631505458678224,-0.5034965034965035,0.09515736659412467,12
60,DC,DEU,-0.37749327482356076,0.22637778500610112,-0.37762237762237766,0.22620604493502647,12
60,DC,DNK,-0.3708872968479233,0.23526967811698019,-0.3916083916083916,0.20806346369535322,12
60,DC,ESP,-0.4439629522680153,0.14822809915997656,-0.5104895104895105,0.08991373630263919,12
60,DC,FIN,-0.4427122473987946,0.14951070971496802,-0.4545454545454546,0.13765791634772948,12
60,DC,FRA,-0.3631052759703036,0.2460067701711008,-0.4545454545454546,0.13765791634772948,12
60,DC,GBR,-0.3866176942848228,0.21443223834900163,-0.41958041958041964,0.1745190081300594,12
60,DC,IRL,-0.2560369522840881,0.4218339459209209,-0.30069930069930073,0.34225952894002437,12
60,DC,ITA,-0.4285172772369996,0.16456651187138807,-0.5104895104895105,0.08991373630263919,12
60,DC,JPN,-0.34602721549057824,0.2705617847637235,-0.37762237762237766,0.22620604493502647,12
60,DC,NLD,-0.5431201813653244,0.06802100118186066,-0.6083916083916086,0.03580599705202923,12
60,DC,SWE,-0.42773679316446056,0.16542104773135738,-0.4755244755244756,0.118175957013032,12
60,DC,USA,-0.40111312171522784,0.19625638079570867,-0.44055944055944063,0.1517350357167303,12
70,R2009,CAN,0.6021831735813339,0.0382688565230255,0.5804195804195805,0.04785597684206058,12
70,R2009,DEU,0.5835551663638558,0.04638029270699788,0.5804195804195805,0.04785597684206058,12
70,R2009,DNK,0.5622396898895415,0.057068749566845496,0.5804195804195805,0.04785597684206058,12
70,R2009,ESP,0.6548064886347171,0.02084234094002807,0.6713286713286714,0.016831456186893416,12
70,R2009,FIN,0.5821529510189871,0.04703618387894922,0.5944055944055945,0.04152149441031857,12
70,R2009,FRA,0.6416422052501731,0.02450478552453037,0.6083916083916086,0.03580599705202923,12
70,R2009,GBR,0.5745879030341783,0.05068790300529111,0.5944055944055945,0.04152149441031857,12
70,R2009,IRL,0.4794347376342207,0.11475767706052241,0.49650349650349657,0.10060263183225476,12
70,R2009,ITA,0.5869999104160819,0.044796440865960026,0.6083916083916086,0.03580599705202923,12
70,R2009,JPN,0.5381286322940412,0.0711027853850097,0.6083916083916086,0.03580599705202923,12
70,R2009,NLD,0.5750845958712497,0.05044223131447887,0.5944055944055945,0.04152149441031857,12
70,R2009,SWE,0.6379287296714552,0.025617246747461585,0.6573426573426573,0.020185498509854093,12
70,R2009,USA,0.5790052045216479,0.04853231635273829,0.6083916083916086,0.03580599705202923,12
70,DC,CAN,-0.43612609416136394,0.15638199377820894,-0.5034965034965035,0.09515736659412467,12
70,DC,DEU,-0.3621136557717885,0.24739529604839344,-0.37762237762237766,0.22620604493502647,12
70,DC,DNK,-0.34282475578808463,0.2753175285455958,-0.3916083916083916,0.20806346369535322,12
70,DC,ESP,-0.44983943575049523,0.1422962842030264,-0.5104895104895105,0.08991373630263919,12
70,DC,FIN,-0.41134007650351684,0.18402277511993426,-0.4545454545454546,0.13765791634772948,12
70,DC,FRA,-0.3347171725185966,0.28756996381392386,-0.4545454545454546,0.13765791634772948,12
70,DC,GBR,-0.3653476183932416,0.2428838697311923,-0.41958041958041964,0.1745190081300594,12
70,DC,IRL,-0.2027967816838789,0.52730323024782,-0.30069930069930073,0.34225952894002437,12
70,DC,ITA,-0.39940917474446824,0.19834203172225753,-0.5104895104895105,0.08991373630263919,12
70,DC,JPN,-0.3215051539505991,0.3081852491542909,-0.37762237762237766,0.22620604493502647,12
70,DC,NLD,-0.5339096125482544,0.07378136210428583,-0.6083916083916086,0.03580599705202923,12
70,DC,SWE,-0.3963324538021417,0.2021423131934103,-0.4755244755244756,0.118175957013032,12
70,DC,USA,-0.37702933960914614,0.22699558330968472,-0.44055944055944063,0.1517350357167303,12
