S,A_x,xmax_over_xc,crosses_threshold
0.08,0.75,0.7670140850290682,False
0.08428571428571428,0.75,0.7612856013309889,False
0.08857142857142858,0.75,0.7556017033618945,False
0.09285714285714286,0.75,0.750072034602439,False
0.09714285714285714,0.75,0.7445848967435665,False
0.10142857142857142,0.75,0.7391934213537669,False
0.10571428571428572,0.75,0.7338954520667053,False
0.11,0.75,0.7286401444633303,False
0.1142857142857143,0.75,0.7235152205432879,False
0.11857142857142858,0.75,0.718439427545971,False
0.12285714285714286,0.75,0.7134279208168606,False
0.12714285714285714,0.75,0.7085239966128025,False
0.13142857142857145,0.75,0.7036604398549398,False
0.13571428571428573,0.75,0.6988790018397538,False
0.14,0.75,0.6941782506020441,False
0.1442857142857143,0.75,0.6895168936677558,False
0.14857142857142858,0.75,0.6849457506795422,False
0.15285714285714286,0.75,0.6804384868855277,False
0.15714285714285714,0.75,0.6759694119473096,False
0.16142857142857142,0.75,0.6715907042122312,False
0.1657142857142857,0.75,0.6672674172699057,False
0.17,0.75,0.6629809662062838,False
0.1742857142857143,0.75,0.6587785699546135,False
0.17857142857142858,0.75,0.6546300367186176,False
0.18285714285714288,0.75,0.650516900515767,False
0.18714285714285717,0.75,0.6464762603289637,False
0.19142857142857145,0.75,0.642493615269978,False
0.19571428571428573,0.75,0.6385448872352593,False
0.2,0.75,0.6346528608508373,False
0.2042857142857143,0.75,0.6308276365279893,False
0.20857142857142857,0.75,0.6270348402730519,False
0.21285714285714286,0.75,0.6232795566239049,False
0.21714285714285714,0.75,0.6196037034301307,False
0.22142857142857142,0.75,0.6159588033879452,False
0.2257142857142857,0.75,0.612344953555378,False
0.22999999999999998,0.75,0.6087954253620602,False
0.23428571428571432,0.75,0.6052908253554975,False
0.2385714285714286,0.75,0.6018157939772851,False
0.24285714285714288,0.75,0.5983782961206568,False
0.24714285714285716,0.75,0.5950068299097048,False
0.25142857142857145,0.75,0.5916635004372262,False
0.2557142857142857,0.75,0.5883483139392621,False
0.26,0.75,0.5850844856744792,False
0.2642857142857143,0.75,0.5818661623597258,False
0.26857142857142857,0.75,0.5786745872256054,False
0.27285714285714285,0.75,0.5755097282911062,False
0.27714285714285714,0.75,0.5724034670310335,False
0.2814285714285714,0.75,0.5693292709843568,False
0.28571428571428575,0.75,0.5662804485747991,False
0.29000000000000004,0.75,0.5632569411774845,False
0.2942857142857143,0.75,0.5602939072930301,False
0.2985714285714286,0.75,0.557355335105882,False
0.3028571428571429,0.75,0.5544407964561291,False
0.30714285714285716,0.75,0.5515513756126945,False
0.31142857142857144,0.75,0.5487176225366827,False
0.3157142857142857,0.75,0.5459066888646095,False
0.32,0.75,0.5431184961504345,False
0.3242857142857143,0.75,0.5403529558108443,False
0.32857142857142857,0.75,0.5376393904519956,False
0.3328571428571429,0.75,0.5349486192213798,False
0.3371428571428572,0.75,0.5322793517962174,False
0.34142857142857147,0.75,0.5296314923794577,False
0.34571428571428575,0.75,0.527026747990686,False
0.35000000000000003,0.75,0.5244491544428742,False
0.3542857142857143,0.75,0.5218918872589943,False
0.3585714285714286,0.75,0.5193548468226484,False
0.3628571428571429,0.75,0.5168497860060174,False
0.36714285714285716,0.75,0.5143788533039781,False
0.37142857142857144,0.75,0.5119271309963509,False
0.3757142857142857,0.75,0.5094945181251531,False
0.38,0.75,0.507080948339089,False
0.08,0.7628571428571429,0.7801628979152808,False
0.08428571428571428,0.7628571428571429,0.7743362116395205,False
0.08857142857142858,0.7628571428571429,0.7685548754195268,False
0.09285714285714286,0.7628571428571429,0.7629304123384812,False
0.09714285714285714,0.7628571428571429,0.7573492092591706,False
0.10142857142857142,0.7628571428571429,0.7518653085769744,False
0.10571428571428572,0.7628571428571429,0.7464765169592776,False
0.11,0.7628571428571429,0.7411311183684163,False
0.1142857142857143,0.7628571428571429,0.735918338609744,False
0.11857142857142858,0.7628571428571429,0.7307555320181877,False
0.12285714285714286,0.7628571428571429,0.7256581137451497,False
0.12714285714285714,0.7628571428571429,0.7206701222690223,False
0.13142857142857145,0.7628571428571429,0.7157231902524526,False
0.13571428571428573,0.7628571428571429,0.7108597847284355,False
0.14,0.7628571428571429,0.7060784491837933,False
0.1442857142857143,0.7628571428571429,0.7013371832734887,False
0.14857142857142858,0.7628571428571429,0.6966876778340487,False
0.15285714285714286,0.7628571428571429,0.6921031466607084,False
0.15714285714285714,0.7628571428571429,0.6875574590092643,False
0.16142857142857142,0.7628571428571429,0.6831036877130124,False
0.1657142857142857,0.7628571428571429,0.6787062872802468,False
0.17,0.7628571428571429,0.6743463541983915,False
0.1742857142857143,0.7628571428571429,0.6700719168681217,False
0.17857142857142858,0.7628571428571429,0.6658522659195085,False
0.18285714285714288,0.7628571428571429,0.6616686188103231,False
0.18714285714285717,0.7628571428571429,0.6575587105060313,False
0.19142857142857145,0.7628571428571429,0.6535077915317493,False
0.19571428571428573,0.7628571428571429,0.6494913710164346,False
0.2,0.7628571428571429,0.6455326241797087,False
0.2042857142857143,0.7628571428571429,0.6416418245827549,False
0.20857142857142857,0.7628571428571429,0.6377840089634469,False
0.21285714285714286,0.7628571428571429,0.6339643490231718,False
0.21714285714285714,0.7628571428571429,0.630225481203219,False
0.22142857142857142,0.7628571428571429,0.62651809716031,False
0.2257142857142857,0.7628571428571429,0.6228422956163275,False
0.22999999999999998,0.7628571428571429,0.619231918368267,False
0.23428571428571432,0.7628571428571429,0.6156672395044492,False
0.2385714285714286,0.7628571428571429,0.6121326361597527,False
0.24285714285714288,0.7628571428571429,0.6086362097684392,False
0.24714285714285716,0.7628571428571429,0.6052069469938708,False
0.25142857142857145,0.7628571428571429,0.6018063033018642,False
0.2557142857142857,0.7628571428571429,0.5984342850353633,False
0.26,0.7628571428571429,0.595114505428899,False
0.2642857142857143,0.7628571428571429,0.5918410108573217,False
0.26857142857142857,0.7628571428571429,0.5885947230066155,False
0.27285714285714285,0.7628571428571429,0.5853756093475254,False
0.27714285714285714,0.7628571428571429,0.5822160978944229,False
0.2814285714285714,0.7628571428571429,0.5790892013440893,False
0.28571428571428575,0.7628571428571429,0.5759881134075097,False
0.29000000000000004,0.7628571428571429,0.5729127744548127,False
0.2942857142857143,0.7628571428571429,0.5698989457037678,False
0.2985714285714286,0.7628571428571429,0.566909997993411,False
0.3028571428571429,0.7628571428571429,0.5639454958239487,False
0.30714285714285716,0.7628571428571429,0.5610065420517691,False
0.31142857142857144,0.7628571428571429,0.5581242103515972,False
0.3157142857142857,0.7628571428571429,0.555265089245146,False
0.32,0.7628571428571429,0.5524290989415849,False
0.3242857142857143,0.7628571428571429,0.5496161493390301,False
0.32857142857142857,0.7628571428571429,0.5468560657168867,False
0.3328571428571429,0.7628571428571429,0.5441191669794605,False
0.3371428571428572,0.7628571428571429,0.5414041406841522,False
0.34142857142857147,0.7628571428571429,0.5387108893916771,False
0.34571428571428575,0.7628571428571429,0.5360614922419552,False
0.35000000000000003,0.7628571428571429,0.5334397113761806,False
0.3542857142857143,0.7628571428571429,0.5308386053262912,False
0.3585714285714286,0.7628571428571429,0.5282580727681795,False
0.3628571428571429,0.7628571428571429,0.5257100680518351,False
0.36714285714285716,0.7628571428571429,0.5231967765034753,False
0.37142857142857144,0.7628571428571429,0.520703024670574,False
0.3757142857142857,0.7628571428571429,0.5182287098644414,False
0.38,0.7628571428571429,0.5157737645963304,False
0.08,0.7757142857142857,0.7933117108014937,False
0.08428571428571428,0.7757142857142857,0.7873868219480519,False
0.08857142857142858,0.7757142857142857,0.7815080474771595,False
0.09285714285714286,0.7757142857142857,0.775788790074523,False
