regime,S,m(S),c_x(S),x_max,x_c,D_x,threshold_area,max_growth_accel,crosses_threshold
fragile-fast,0.15,1.6,0.7,1.2506021266584364,1.12,4.665882907185657,0.11710859034189874,0.32579504175600366,True
balanced,0.23,1.92,0.9400000000000001,1.1087135720204564,1.12,4.1745029905807325,0.0,0.28585120606685116,False
stable-sluggish,0.31,2.24,1.18,1.0009654911377446,1.12,3.9139530981319424,0.0,0.25456464826435304,False
