regime,S,m,c_x,zeta_x,omega_x,discriminant,xmax
fragile-fast,0.15,1.6,0.7,0.2766992952647332,0.7905694150420949,-5.91,1.2510374838186016
balanced,0.23,1.92,0.9400000000000001,0.3391932831489052,0.7216878364870323,-6.796399999999999,1.1091440922862927
stable-sluggish,0.31,2.24,1.18,0.39421033182082593,0.6681531047810609,-7.5676000000000005,1.0014066268499513
Scrit,0.22285315757393595,1.891412630295744,0.9185594727218078,0.33395207183132375,0.7271212844646445,,1.12
