regime,S,m,c_x,t,x,u,x_dot,u_dot,x_accel,u_accel,D_x_cumulative,F_x,F_u
fragile-fast,0.15,1.6,0.7,11.200000000000001,1.1278947703192594,4.311721182775382,0.37636182052988865,0.38418480226303187,-0.49474325917473266,-0.4273310349005356,1.3581703872326534,0.5938377522711646,0.014682410110833979
fragile-fast,0.15,1.6,0.7,11.24,1.1421576539257754,4.326404845210062,0.35657209016289937,0.36709156086701045,-0.5059910470314721,-0.42871229101204816,1.4038566933896843,0.565554201345118,0.013621207647064188
fragile-fast,0.15,1.6,0.7,11.28,1.155610951857041,4.340402567979123,0.3363324482816405,0.3499430692265285,-0.5166117499868201,-0.42978614200859777,1.4500811314639659,0.5377566517824964,0.012627722944048972
fragile-fast,0.15,1.6,0.7,11.32,1.1682376709883278,4.3537126329209705,0.3156679782821677,0.3327516235461846,-0.5265744310441852,-0.4305522036834059,1.496810638303499,0.510507912873903,0.011698377841878957
fragile-fast,0.15,1.6,0.7,11.36,1.1800218710299437,4.366333814336924,0.29460500104040027,0.31552953539884837,-0.5358524211700053,-0.4310103426949853,1.5440115131446968,0.4838650946137577,0.01082972459259219
fragile-fast,0.15,1.6,0.7,11.4,1.1909487071976876,4.378265379204566,0.2731709041936001,0.29828912169104893,-0.5444232932101467,-0.4311606878059926,1.5916494614326042,0.45787954059870717,0.010018445701122735
fragile-fast,0.15,1.6,0.7,11.44,1.2010044660962953,4.389507086971719,0.2513939724651942,0.2810426941788092,-0.552268805003383,-0.43100363917389084,1.639689640076456,0.432596809244297,0.009261353332505523
fragile-fast,0.15,1.6,0.7,11.48,1.2101765949068977,4.400059188916193,0.22930322026505887,0.2638025486118536,-0.5593748137105237,-0.4305398757172705,1.688096703872732,0.4080567009754278,0.008555388319964871
fragile-fast,0.15,1.6,0.7,11.52,1.2184537240155633,4.409922427059519,0.2069282277166379,0.2465809535831628,-0.5657311635846787,-0.42977036059627727,1.7368348528333544,0.38429332867005156,0.007897618807844876
fragile-fast,0.15,1.6,0.7,11.56,1.2258256832624934,4.419098032625891,0.18429898117325078,0.2293901391593117,-0.5713315495772336,-0.4286963448590471,1.7858678801638541,0.36133522831332515,0.007285238562530395
fragile-fast,0.15,1.6,0.7,11.6,1.2322835120301,4.42758772404049,0.16144571919016143,0.21224228536494982,-0.5761733593048382,-0.4273193693182501,1.8351592206450582,0.33920550655289705,0.0067155649835821535
fragile-fast,0.15,1.6,0.7,11.64,1.2378194634228186,4.435393704464179,0.1383987848179679,0.19514951059221983,-0.5802574959955011,-0.42564126473275693,1.884671999181971,0.31792202163548045,0.006186036846275059
fragile-fast,0.15,1.6,0.7,11.68,1.2424270028219444,4.442518658864295,0.11518848497814786,0.17812386000290956,-0.5835881850873934,-0.4236641503789899,1.9343690792948487,0.2974975940503602,0.005694211805606739
fragile-fast,0.15,1.6,0.7,11.72,1.2461008011249304,4.448965750623805,0.09184495757465212,0.16117729398774996,-0.586172767173699,-0.4213904311047105,1.984213111339846,0.2779402431055707,0.005237763690640935
fragile-fast,0.15,1.6,0.7,11.76,1.2488367230004385,4.454738617693548,0.06839804688770416,0.14432167674356156,-0.5880214799724848,-0.4188227929647988,2.0341665802598636,0.259253445615527,0.004814479616787575
fragile-fast,0.15,1.6,0.7,11.8,1.2506318105079905,4.459841368294547,0.044877187688804776,0.1275687650249696,-0.5891472319544696,-0.41596419754401887,2.084191852680183,0.2414364128820096,0.00442225694230439
fragile-fast,0.15,1.6,0.7,11.84,1.2514842624444156,4.464278576179475,0.02131129841062599,0.11093019712320885,-0.5895653701862025,-0.4128178750758617,2.1342512231779596,0.22448438220061828,0.004059100093952094
fragile-fast,0.15,1.6,0.7,11.88,1.2513934097885426,4.468055275464282,-0.002271316396822109,0.09441748212017438,-0.5892934448445133,-0.40938731646936244,2.1843069595695015,0.20838891921813885,0.0037231172853523656
fragile-fast,0.15,1.6,0.7,11.92,1.2503596876209184,4.471176955042738,-0.025843054190602642,0.07804198946139988,-0.5883509727331515,-0.40567626435734294,2.234321347074338,0.1931382275987653,0.003412517150200455
fragile-fast,0.15,1.6,0.7,11.96,1.2483846038969213,4.473649552598222,-0.0493770930999287,0.061814938887106166,-0.5867592019876214,-0.4016887032799186,2.284256731230215,0.17871746262408597,0.0031256053110780046
fragile-fast,0.15,1.6,0.7,12.0,1.245470705449744,4.475479448228459,-0.07284746117943355,0.04574739075590942,-0.5845408799926032,-0.397428849116394,2.334075559448205,0.16510904554866748,0.0028607809032098748
fragile-fast,0.15,1.6,0.7,12.040000000000001,1.2416215415945786,4.476673457700109,-0.09622909637913768,0.02985023679125366,-0.5817200263614578,-0.39290113787694525,2.3837404211119884,0.15229297575491585,0.002616533071115599
fragile-fast,0.15,1.6,0.7,12.08,1.2368416256972348,4.477238825351156,-0.11949789743359598,0.014134191276175847,-0.578321712642393,-0.388110213962841,2.433214086139878,0.14024713799296273,0.002391437454733272
fragile-fast,0.15,1.6,0.7,12.120000000000001,1.231136395059663,4.477183216659863,-0.1426307659392917,-0.0013902172823377947,-0.5743718502242474,-0.38306091800048053,2.4824595419422644,0.12894760224861576,0.002184152680244416
fragile-fast,0.15,1.6,0.7,12.16,1.2245121694617325,4.476514710499768,-0.16560563994826158,-0.016712654002357018,-0.56989698771955,-0.3777582743503308,2.5314400287207337,0.11836891405037012,0.0019934168695119043
fragile-fast,0.15,1.6,0.7,12.200000000000001,1.2169761086834507,4.475241791100713,-0.1884015194570436,-0.03182298497637025,-0.5649241189065507,-0.37220747838702106,2.580119073068072,0.1084843733004511,0.0018180441807620679
fragile-fast,0.15,1.6,0.7,12.24,1.2085361693149186,4.47337333973624,-0.2109984842133056,-0.04671128411185109,-0.5594805021179343,-0.36641388364150473,2.6284605198406688,0.09926629999072081,0.0016569213919037822
fragile-fast,0.15,1.6,0.7,12.280000000000001,1.1992010611429977,4.470918626157939,-0.233377704298023,-0.06136783945751128,-0.5535934917744814,-0.3603829888904292,2.6764285622863886,0.09068628543796316,0.0015090045366832824
fragile-fast,0.15,1.6,0.7,12.32,1.1889802033842376,4.467887299797414,-0.2555214439690022,-0.07578315901312845,-0.5472903825791723,-0.35412042527174653,2.723987770421758,0.08271542794108228,0.0013733156027293206
fragile-fast,0.15,1.6,0.7,12.36,1.1778836810133508,4.464289380756454,-0.27741305927216914,-0.0899479760239983,-0.5405982667131474,-0.3476319434992665,2.771103117662292,0.07532455202178356,0.0012489392994495777
fragile-fast,0.15,1.6,0.7,12.4,1.1659222014157231,4.460135250605895,-0.29903698994069505,-0.10385325376396896,-0.5335439042111257,-0.34092340124235765,2.817740005718921,0.06848441065764309,0.0011350199027001027
fragile-fast,0.15,1.6,0.7,12.44,1.1531070515713575,4.455435643013349,-0.3203787461091401,-0.11749018981366327,-0.5261536065417527,-0.33400075073045726,2.8638642877817753,0.06216587014963701,0.0010307581821649254
fragile-fast,0.15,1.6,0.7,12.48,1.139450055956525,4.450201634219634,-0.3414248903708102,-0.13085021984288156,-0.51845313327893,-0.32687002663549936,2.9094422900200363,0.056340077483276345,0.0009354084164549609
fragile-fast,0.15,1.6,0.7,12.52,1.1249635353284464,4.444444633383302,-0.3621630157019674,-0.14392502090830153,-0.5104676016242629,-0.31953733427890835,2.9544408314331743,0.05097861024191378,0.0008482755000642426
fragile-fast,0.15,1.6,0.7,12.56,1.1096602665377688,4.438176372812124,-0.38258171976693794,-0.15670651427945786,-0.49737465836845474,-0.31200883820347947,2.998827242094685,0.04605360931138469,0.0007687121455070407
fragile-fast,0.15,1.6,0.7,12.6,1.0935611982937017,4.43140889809982,-0.40247670610167613,-0.16918686780759704,-0.4814310057789482,-0.3042931745193685,3.042569690026433,0.04153789477621124,0.0006961161832022489
fragile-fast,0.15,1.6,0.7,12.64,1.0766918404403882,4.424154554308285,-0.42173394633283406,-0.18135859478837177,-0.4650456327866971,-0.2964003025520589,3.085637363644049,0.037405065548689116,0.0006299279609697683
fragile-fast,0.15,1.6,0.7,12.68,1.0590784095746162,4.416425970032667,-0.44033577164430193,-0.1932146068904541,-0.4482586162689381,-0.2883402903320571,3.1280005000270337,0.033629583393303915,0.000569627844357814
fragile-fast,0.15,1.6,0.7,12.72,1.0407477649228138,4.4082360412925174,-0.4582661162950595,-0.2047482185037364,-0.43110915087873997,-0.2801232951041697,3.169630410623946,0.030186842110288194,0.0005147338184276179
fragile-fast,0.15,1.6,0.7,12.76,1.0217273456296054,4.399597915280201,-0.4755104823302091,-0.21595315030790319,-0.41363549079633477,-0.2717595443849713,3.2104995044491305,0.02705322272432336,0.00046479919108260813
fragile-fast,0.15,1.6,0.7,12.8,1.002045109551123,4.390524973996869,-0.4920559019620625,-0.22682353208330203,-0.39587490161846717,-0.263259317593041,3.2505813088311752,0.024206135588131696,0.00041941039754011866
fragile-fast,0.15,1.6,0.7,12.84,0.9817294736300509,4.381030817805388,-0.5078908980268012,-0.23735390478702367,-0.3778636216589208,-0.2546329282715395,3.2898504877763775,0.021624050357016877,0.0003781849051039587
fragile-fast,0.15,1.6,0.7,12.88,0.9608092559143246,4.371129248928672,-0.5230054428931581,-0.24753922191788524,-0.3596368319179494,-0.24589070691806214,3.3282828580129507,0.019286514820395003,0.0003407692170030765
fragile-fast,0.15,1.6,0.7,12.92,0.9393136192675297,4.360834254920888,-0.5373909161698761,-0.2573748501946077,-0.3412286339733095,-0.23704298443246166,3.365855402783652,0.017174163591321307,0.0003068369737134845
fragile-fast,0.15,1.6,0.7,12.96,0.9172720168063773,4.350159992138011,-0.5510400615288085,-0.2668565695719062,-0.32267203504994907,-0.22810007618946665,3.4025462834559073,0.015268717656292834,0.0002760871498748545
fragile-fast,0.15,1.6,0.7,13.0,0.894714139089145,4.339120769233232,-0.5639469429308064,-0.27598057261948483,-0.30399893953807805,-0.21907226673944058,3.438334849019473,0.013552975776655613,0.0002482423446478588
fragile-fast,0.15,1.6,0.7,13.040000000000001,0.8716698630686518,4.32773103070167,-0.5761069005123295,-0.28474346328906247,-0.285240146249264,-0.20996979513751457,3.473201643542219,0.012010798711198749,0.00022304716313070906
fragile-fast,0.15,1.6,0.7,13.08,0.8481692028141598,4.316005340497887,-0.5875165063623,-0.29314225509456304,-0.26642535072629897,-0.20080284089857592,3.5071284116547856,0.010627087198471327,0.00020026668626135506
fragile-fast,0.15,1.6,0.7,13.120000000000001,0.8242422619985057,4.303958365748667,-0.598173520391352,-0.30117436873050607,-0.24758315195382913,-0.1915815105731893,3.540098102134726,0.00938775459843269,0.00017968502647280343
fragile-fast,0.15,1.6,0.7,13.16,0.7999191881397255,4.291604860582529,-0.6080768464695051,-0.30883762915343366,-0.22874106285212664,-0.18231582493745002,3.572094869660315,0.008279695047669336,0.00016110396624090823
fragile-fast,0.15,1.6,0.7,13.200000000000001,0.7752301285803819,4.278959650096492,-0.6172264889835901,-0.31613026215093165,-0.20992552397497602,-0.1730157067880004,3.6031040748035306,0.0072907479319072235,0.0001443416765641599
fragile-fast,0.15,1.6,0.7,13.24,0.7502051881826783,4.266037614479593,-0.6256235099425892,-0.32305089042245166,-0.19116191987353984,-0.16369096933196228,3.6331122823308375,0.006409659425202167,0.00012923151234143658
fragile-fast,0.15,1.6,0.7,13.280000000000001,0.7248743887131771,4.252853673311764,-0.6332699867375308,-0.3295985291957302,-0.17247459763046083,-0.15435130516032441,3.6621072578793648,0.005626041788168292,0.00011562088156390577
fragile-fast,0.15,1.6,0.7,13.32,0.6992676298874672,4.239422770055678,-0.6401689706427492,-0.33577258140214317,-0.15388688711158824,-0.14500627579235884,3.6900779630748635,0.004930331059001552,0.00010337018520933907
fragile-fast,0.15,1.6,0.7,13.36,0.6734146520423786,4.225759856758325,-0.6463244461272127,-0.3415728324338375,-0.13542112252593155,-0.13566530177789216,3.7170145491565587,0.004313743711839249,9.235182471874386e-05
fragile-fast,0.15,1.6,0.7,13.4,0.6473450004012486,4.211879878978126,-0.65174129102825,-0.3469994445049532,-0.11709866492714056,-0.12633765334371633,3.7429083491726085,0.0037682327980488547,8.244927394458232e-05
fragile-fast,0.15,1.6,0.7,13.44,0.6210879908962352,4.197797760952579,-0.6564252376253356,-0.35205295063870184,-0.09893992533149133,-0.1170324415700544,3.7677518688084577,0.003286444028114224,7.355621248492181e-05
fragile-fast,0.15,1.6,0.7,13.48,0.5946726775106914,4.183528391020519,-0.6603828346385953,-0.356734248301504,-0.080964388167582,-0.10775861008278903,3.791538775908885,0.002861672195543562,6.557571735687642e-05
fragile-fast,0.15,1.6,0.7,13.52,0.5681278211040794,4.169086607312327,-0.6636214101652985,-0.3610445927048156,-0.0631906348113518,-0.0985249272470877,3.8142638887530484,0.0024878182902075847,5.8419510013955985e-05
fragile-fast,0.15,1.6,0.7,13.56,0.5414818596817693,4.154487183720539,-0.6661490355577526,-0.3649855897946991,-0.0456363669963562,-0.08933997884810388,3.8359231631403192,0.0021593475971726285,5.20072557737553e-05
fragile-fast,0.15,1.6,0.7,13.6,0.514762880072265,4.139744816162594,-0.6679744902376069,-0.3685591889486232,-0.028318429923227736,-0.08021216124457561,3.8565136783432097,0.0018712490287758482,4.6265912793367074e-05
fragile-fast,0.15,1.6,0.7,13.64,0.4879985909748836,4.124874109146657,-0.669107227434536,-0.3717676753984062,-0.011252834923784205,-0.07114967498136945,3.876033621982205,0.0016189958926536973,4.112912780848862e-05
fragile-fast,0.15,1.6,0.7,13.68,0.46121629734162406,4.109889562650751,-0.6695573408314873,-0.374613662397661,0.005545218435799824,-0.062160518847308444,3.89448227387587,0.0013985082568626702,3.6536675937187235e-05
fragile-fast,0.15,1.6,0.7,13.72,0.43444287605786186,4.094805559324689,-0.6693355320940554,-0.3771000831515533,0.02206132090199913,-0.05325248436496743,3.9118599889181844,0.001206117035221724,3.2433941939402656e-05
fragile-fast,0.15,1.6,0.7,13.76,0.4077047528875428,4.079636352023643,-0.6684530792579754,-0.379230182526152,0.038281832796649186,-0.04443315069950047,3.928168179033686,0.0010385298815988092,2.877144041746196e-05
fragile-fast,0.15,1.6,0.7,13.8,0.38102788064969845,4.064396051681477,-0.6669218059461094,-0.381007508554132,0.05419386403975768,-0.03570987997397683,3.943409294259674,0.0008927989510341744,2.5504372540082118e-05
fragile-fast,0.15,1.6,0.7,13.84,0.35443771859431766,4.049098615531354,-0.664754051384519,-0.3824359037530911,0.06978525495819808,-0.027089812979128308,3.9575868030034465,0.0007662905582713269,2.2592216971662123e-05
fragile-fast,0.15,1.6,0.7,13.88,0.32795921294687,4.033757835680463,-0.6619626411861911,-0.38351949627225623,0.08504455788987456,-0.018579865265847557,3.9707051715213213,0.0006566567403355777,1.999835278925242e-05
fragile-fast,0.15,1.6,0.7,13.92,0.30161677859204616,4.018387328045147,-0.6585608588705961,-0.3842626908828901,0.09996101957905265,-0.010186723609213032,3.9827698426650033,0.0005618087091131812,1.7689712270712066e-05
fragile-fast,0.15,1.6,0.7,13.96,0.2754342818685488,4.003000521652057,-0.654562418087434,-0.3846701598272586,0.11452456434682366,-0.001916842833247119,3.9937872139397452,0.0004798921622629325,1.5636461538527033e-05
fragile-fast,0.15,1.6,0.7,14.0,0.24943502444800636,3.9876106483104334,-0.649981435513561,-0.3847468335405885,0.12872577801095458,0.00622355701396674,4.0037646149176656,0.00040926440604106444,1.3811707144005197e-05
fragile-fast,0.15,1.6,0.7,14.040000000000001,0.22364172827228146,3.9722307326600323,-0.6448324043931228,-0.3844978912600298,0.14255589252151932,0.014228493144778278,4.0127102840485565,0.0003484732315264398,1.2191226775536914e-05
fragile-fast,0.15,1.6,0.7,14.08,0.198076521524591,3.956873582598663,-0.639130168692262,-0.38392875153423867,0.1560067712725432,0.022092222185662442,4.02063334490954,0.00029623747607678507,1.0753222371887224e-05
fragile-fast,0.15,1.6,0.7,14.120000000000001,0.1727609256109366,3.9415517800927904,-0.6328898978413603,-0.38304506264681215,0.16907089504526104,0.029809242009332885,4.027543781933978,0.00025142919440209865,9.47809401666017e-06
fragile-fast,0.15,1.6,0.7,14.16,0.1477158431293546,3.926277672374133,-0.6261270620395498,-0.3818526929664388,0.18174134853532173,0.03737429325416195,4.033452415659152,0.00021305735818453057,8.348233082835236e-06
fragile-fast,0.15,1.6,0.7,14.200000000000001,0.12296154680542912,3.9110633635246823,-0.6188574080981369,-0.3803577212362723,0.19401180741421864,0.04478236053947941,4.038370877531369,0.00018025299948308041,7.347833186329774e-06
fragile-fast,0.15,1.6,0.7,14.24,0.0985176693733664,3.8959207064520944,-0.6110969358015682,-0.37856642681469316,0.20587652587422128,0.052028673385033794,4.0423115843063036,0.0001522557110227934,6.4627175946826375e-06
fragile-fast,0.15,1.6,0.7,14.280000000000001,0.07440319438270242,3.880861295256923,-0.6028618747665994,-0.3764852798792918,0.21733032460599572,0.059108706842638685,4.0452877120816115,0.00012840141567604298,5.680181820988417e-06
fragile-fast,0.15,1.6,0.7,14.32,0.050636447911408033,3.8658964579926995,-0.5941686617823595,-0.37412093160558624,0.2283685791587801,0.06601818184779074,4.047313169998068,0.00010811131780458005,4.988850214016523e-06
fragile-fast,0.15,1.6,0.7,14.36,0.0272350911667677,3.8510372498194325,-0.5850339186160083,-0.3714802043316746,0.23898720863431347,0.07275306529883448,4.048402573644739,9.088195046355233e-05,4.3785454329148415e-06
fragile-fast,0.15,1.6,0.7,14.4,0.00421611395594227,3.8362944465506437,-0.5754744302706357,-0.3685700817197212,0.24918266466756744,0.07930956987106265,4.0485712182029765,7.627623460528058e-05,3.8401697689693035e-06
fragile-fast,0.15,1.6,0.7,14.44,-0.018404170991415048,3.8216785385936487,-0.565507123683933,-0.3653976989248787,0.25895192064960976,0.07993285013815941,4.0485712182029765,6.391546920745485e-05,3.365597347525165e-06
fragile-fast,0.15,1.6,0.7,14.48,-0.04061013286573299,3.8071905231968746,-0.5551490468579485,-0.36220038491935236,0.26829246115052857,0.07923317643630229,4.0485712182029765,5.3472174548744916e-05,2.947576310373773e-06
fragile-fast,0.15,1.6,0.7,14.52,-0.06238682680221008,3.7928292808823985,-0.5444173484119273,-0.35903105786190026,0.27720227150318694,0.07853965618237986,4.0485712182029765,4.466371453995078e-05,2.579640142682195e-06
fragile-fast,0.15,1.6,0.7,14.56,-0.08371999710428207,3.7785937020178144,-0.5333292575517998,-0.35588947161460505,0.2856798275115764,0.07785223193280043,4.0485712182029765,3.724662798030769e-05,2.2560273689304935e-06
fragile-fast,0.15,1.6,0.7,14.6,-0.10459607968233554,3.764482686724323,-0.5219020644513368,-0.35277538233729305,0.29372408525063814,0.07717084714184495,4.0485712182029765,3.101160274976314e-05,1.971608899380279e-06
fragile-fast,0.15,1.6,0.7,14.64,-0.125002203723988,3.750495144786258,-0.5101531010413113,-0.34968854845161923,0.30133447092755683,0.07649544611276819,4.0485712182029765,2.577903118513916e-05,1.7218223623953344e-06
fragile-fast,0.15,1.6,0.7,14.68,-0.14492619261215633,3.7366299955619735,-0.498099722204209,-0.3466287306071085,0.3085108707776577,0.07582597395331032,4.0485712182029765,2.1395089149741677e-05,1.502612808558726e-06
fragile-fast,0.15,1.6,0.7,14.72,-0.16435656410708044,3.7228861678960143,-0.4857592873731027,-0.34359569164897613,0.3152536209711152,0.07516237653522606,4.0485712182029765,1.7728285532030227e-05,1.3103792200706097e-06
fragile-fast,0.15,1.6,0.7,14.76,-0.18328252980845078,3.7092626000325115,-0.4731491425342581,-0.3405891965875671,0.3215634975096758,0.07450460045746995,4.0485712182029765,1.4666433049930155e-05,1.1419263034738595e-06
fragile-fast,0.15,1.6,0.7,14.8,-0.20169399391380563,3.6957582395297406,-0.46028660263387106,-0.3376090125692683,0.3274417060954803,0.07385259301270583,4.0485712182029765,1.2113995253138276e-05,9.944210854473241e-07
fragile-fast,0.15,1.6,0.7,14.84,-0.2195815512894077,3.68237204317579,-0.44718893439005186,-0.33465490884876004,0.33288987195682435,0.07320630215683521,4.0485712182029765,9.989768474932203e-06,8.653538703464644e-07
fragile-fast,0.15,1.6,0.7,14.88,-0.23693648486987887,3.6691029769052905,-0.43387333951177887,-0.33172665676248664,0.3379100296183048,0.07256567648126548,4.0485712182029765,8.224861163648832e-06,7.525031544744965e-07
fragile-fast,0.15,1.6,0.7,14.92,-0.25375076240296074,3.655950015717161,-0.4203569383270467,-0.32882402970323604,0.342504612605249,0.07193066518766153,4.0485712182029765,6.760936505048834e-06,6.539041258573553e-07
fragile-fast,0.15,1.6,0.7,14.96,-0.2700170325558742,3.642912143593332,-0.4066567538228367,-0.3259468030957296,0.34667644307461176,0.0713012180649469,4.0485712182029765,5.54868751889282e-06,5.678204096925505e-07
fragile-fast,0.15,1.6,0.7,15.0,-0.2857286203998683,3.6299883534184065,-0.39278969609985226,-0.32309475437313173,0.3504287213666467,0.07067728546834054,4.0485712182029765,4.546516869935979e-06,4.927187487694413e-07
fragile-fast,0.15,1.6,0.7,15.040000000000001,-0.30087952228967574,3.6171776469002306,-0.3787725472451864,-0.3202676629543981,0.353765015473612,0.07005881830023404,4.0485712182029765,3.719396473101611e-06,4.2724633513647793e-07
fragile-fast,0.15,1.6,0.7,15.08,-0.31546440015472543,3.604479034491335,-0.3646219466262419,-0.3174653102223888,0.3566892504235569,0.06944576799273144,4.0485712182029765,3.0378845962758983e-06,3.7021053424055816e-07
fragile-fast,0.15,1.6,0.7,15.120000000000001,-0.3294785752190974,3.5918915353112277,-0.35035437660929963,-0.3146874795026795,0.3592056975788646,0.06883808649168977,4.0485712182029765,2.4772805762724806e-06,3.2056076580135095e-07
fragile-fast,0.15,1.6,0.7,15.16,-0.3429180211673432,3.5794141770695074,-0.33598614870614507,-0.3119339560430119,0.36131896385069706,0.06823572624211317,4.0485712182029765,2.016899470661588e-06,2.7737232692496635e-07
fragile-fast,0.15,1.6,0.7,15.200000000000001,-0.3557793567734279,3.5670459959897745,-0.3215333901521172,-0.30920452699332734,0.3630339808318054,0.06763864017476692,4.0485712182029765,1.6394509787104474e-06,2.398319625172986e-07
fragile-fast,0.15,1.6,0.7,15.24,-0.3680598380101817,3.554786036734321,-0.307012030918845,-0.3064989813863367,0.3643559938513509,0.06704678169388992,4.0485712182029765,1.3305087883458568e-06,2.0722500603632845e-07
fragile-fast,0.15,1.6,0.7,15.280000000000001,-0.3797573496567734,3.542633352329578,-0.29243779116479096,-0.3038171101185811,0.36529055095642526,0.06646010466589594,4.0485712182029765,1.078058153440499e-06,1.789239301279291e-07
fragile-fast,0.15,1.6,0.7,15.32,-0.39087039642183474,3.5305870040923,-0.27782616912653396,-0.30115870593194527,0.36584349182587284,0.06587856340896416,4.0485712182029765,8.721109880570975e-07,1.543781618214406e-07
fragile-fast,0.15,1.6,0.7,15.36,-0.4013980935999747,3.5186460615564763,-0.263192429453499,-0.2985235633955867,0.36602093662282315,0.06530211268342885,4.0485712182029765,7.043790930628458e-07,1.3310503081444092e-07
fragile-fast,0.15,1.6,0.7,15.4,-0.4113401572795181,3.5068096024009465,-0.2485515919885861,-0.2959114788882496,0.3658292747930285,0.06473070768288712,4.0485712182029765,5.679973173255355e-07,1.1468173204201395e-07
fragile-fast,0.15,1.6,0.7,15.44,-0.4206968941193927,3.4950767123777093,-0.23391842099686494,-0.2933222505809341,0.3652751538166938,0.06416430402595139,4.0485712182029765,4.5728951195737933e-07,9.873819529050362e-08
fragile-fast,0.15,1.6,0.7,15.48,-0.4294691907131606,3.4834464852409135,-0.2193074148441972,-0.290755678419896,0.3643654679219822,0.06360285774858047,4.0485712182029765,3.6757107293343123e-07,8.495076516131932e-08
fragile-fast,0.15,1.6,0.7,15.52,-0.4376585025582533,3.4719180226765154,-0.2047327961273179,-0.2882115641099528,0.36310734676879464,0.06304632529692986,4.0485712182029765,2.9498269561631715e-07,7.303660429418414e-08
fragile-fast,0.15,1.6,0.7,15.56,-0.4452668426485159,3.460490434232592,-0.1902085022565661,-0.2856897110980756,0.36150814411175414,0.062494663520667466,4.0485712182029765,2.363506945042281e-07,6.274874149412566e-08
fragile-fast,0.15,1.6,0.7,15.6,-0.45229676970819976,3.4491628372503023,-0.17574817649209593,-0.2831899245572489,0.35957542645159335,0.06194782966670716,4.0485712182029765,1.8906988255575373e-07,5.387169434127863e-08
fragile-fast,0.15,1.6,0.7,15.64,-0.45875137608556105,3.437934356795479,-0.16136515943403218,-0.2807120113705806,0.35731696168434335,0.06140578137331641,4.0485712182029765,1.5100556579294776e-07,4.621760306135115e-08
fragile-fast,0.15,1.6,0.7,15.68,-0.4646342753242274,3.4268041255908535,-0.14707248096665845,-0.27825578011564794,0.3547407077578671,0.060868476664559835,4.0485712182029765,1.2041169897149276e-07,3.962281895775281e-08
fragile-fast,0.15,1.6,0.7,15.72,-0.46994958943048115,3.415771283948891,-0.13288285265634378,-0.2758210410490656,0.3518548013453728,0.06033587394504347,4.0485712182029765,9.586267471920865e-08,3.3944896610023544e-08
fragile-fast,0.15,1.6,0.7,15.76,-0.4747019358545823,3.40483497970524,-0.11880866060252887,-0.27340760609126386,0.34866754654558835,0.0598079319949292,4.0485712182029765,7.61965888308765e-08,2.9059944379804742e-08
fragile-fast,0.15,1.6,0.7,15.8,-0.47889641420421053,3.3939943681527813,-0.10486195874070534,-0.2710152888114667,0.3451874036192807,0.05928460996519121,4.0485712182029765,6.046814489390426e-08,2.4860292583810775e-08
fragile-fast,0.15,1.6,0.7,15.84,-0.4825385927080479,3.383248611976267,-0.09105446259593411,-0.26864390441285907,0.3414229777717749,0.058765867373089815,4.0485712182029765,4.7909638031569984e-08,2.1252443038365474e-08
fragile-fast,0.15,1.6,0.7,15.88,-0.48563449444745044,3.3725968811875497,-0.07739754348506311,-0.2662932697179355,0.3373830079910564,0.058251664097840626,4.0485712182029765,3.7898695641006694e-08,1.815526759389429e-08
fragile-fast,0.15,1.6,0.7,15.92,-0.4881905833740673,3.3620383530613887,-0.06390222316542085,-0.2639632031540219,0.33307635595094953,0.05774196037645903,4.0485712182029765,2.993165738452864e-08,1.549842679907641e-08
fragile-fast,0.15,1.6,0.7,15.96,-0.4902137501311626,3.3515722120718303,-0.05057916892738287,-0.2616535247389635,0.3285119949887389,0.05723671679976264,4.0485712182029765,2.3601651672170476e-08,1.322098299884902e-08
fragile-fast,0.15,1.6,0.7,16.0,-0.4917112976962759,3.3411976498291516,-0.03743868912783332,-0.25936405606697305,0.32369899916645906,0.05673589430851598,4.0485712182029765,1.8580575288549406e-08,1.1270185011087346e-08
fragile-fast,0.15,1.6,0.7,16.04,-0.4926909268627229,3.3309138650173664,-0.024490729161174955,-0.2570946202946324,0.31864653242490965,0.05623945418970338,4.0485712182029765,1.4604310073932873e-08,9.600404073781887e-09
fragile-fast,0.15,1.6,0.7,16.080000000000002,-0.4931607215772901,3.320720063332285,-0.011744867864178568,-0.2548450421270443,0.313363837839271,0.055747358072917835,4.0485712182029765,1.1460618677980312e-08,8.172203035738685e-09
fragile-fast,0.15,1.6,0.7,16.12,-0.4931291341513144,3.31061545742012,0.0007896856493922726,-0.2526151478041276,0.3078602269849955,0.05525956792685465,4.0485712182029765,8.979253015199603e-09,6.951522804676607e-09
fragile-fast,0.15,1.6,0.7,16.16,-0.49260497036216266,3.3005992668166377,0.013104094728792093,-0.2504047650870534,0.30214506942243413,0.054776046055900356,4.0485712182029765,7.02388648857315e-09,5.908971890422431e-09
fragile-fast,0.15,1.6,0.7,16.2,-0.4915973744619351,3.290670717886845,0.02518989750568946,-0.24821372324481739,0.29622778230843677,0.05429675509680786,4.0485712182029765,5.485546343982681e-09,5.019206508999779e-09
fragile-fast,0.15,1.6,0.7,16.240000000000002,-0.490115814110014,3.2808290437652072,0.03703900879802693,-0.24604185304094506,0.29011782014292037,0.05382165801545058,4.0485712182029765,4.277277442791198e-09,4.2603901652000774e-09
